ref,secteur,sous_secteur,nom,type,params,actif,cumac_H1,cumac_H2,cumac_H3,cumac_DOM,unite,duree_vie,eur_max_unite_classique,eur_max_unite_precarite,audit_status,conditions_texte
AGRI-EQ-101,AGRI,EQ,Module température ordinateur climatique,unitaire,quantite,OUI,6240,5200,3640,3120,kWhc par unité,15,54.79,102.34,,Moteur IE3 ou IE4 / Usage agricole
AGRI-EQ-102,AGRI,EQ,Double écran thermique,surface,surface,OUI,22,18,13,11,kWhc par m²,15,0.19,0.36,,Variateur de vitesse neuf / Moteur existant
AGRI-EQ-104,AGRI,EQ,Écrans thermiques latéraux,surface,surface,OUI,17,14,10,8,kWhc par m²,12,0.15,0.28,,Exploitation laitiere / Pre-refroidisseur neuf
AGRI-EQ-105,AGRI,EQ,Stop & Start véhicules agricoles,unitaire,quantite,OUI,6100,6100,6100,6100,kWhc par unité,15,53.56,100.04,,Installation par professionnel
AGRI-EQ-106,AGRI,EQ,Régulation ventilation silos,unitaire,quantite,OUI,2540,2540,2540,2540,kWhc par unité,13,22.3,41.66,,Equipement/batiment existant > 2 ans / Remplacement equipement existant
AGRI-EQ-107,AGRI,EQ,Isolation parois de serre,surface,surface,OUI,14,12,8,7,kWhc par m²,15,0.12,0.23,,Equipement/batiment existant > 2 ans / Remplacement equipement existant
AGRI-EQ-108,AGRI,EQ,Stockage eau serre bioclimatique,unitaire,quantite,OUI,2200,1800,1300,1100,kWhc par m³,10,19.32,36.08,,Ventilateur basse conso neuf / Batiment elevage
AGRI-EQ-109,AGRI,EQ,Couverture performante de serre,surface,surface,OUI,18,15,11,9,kWhc par m²,15,0.16,0.3,,Echangeur air-air neuf / Batiment elevage
AGRI-EQ-110,AGRI,EQ,Séchage solaire panneaux hybrides,unitaire,quantite,OUI,15600,15600,15600,15600,kWhc par unité,15,136.97,255.84,,Luminaire LED neuf / Batiment agricole existant > 2 ans
AGRI-EQ-111,AGRI,EQ,Simple écran thermique,surface,surface,OUI,11,9,7,6,kWhc par m²,8,0.1,0.18,,Equipement/batiment existant > 2 ans / Installation par professionnel
AGRI-EQ-112,AGRI,EQ,Double paroi gonflable,surface,surface,OUI,13,11,8,7,kWhc par m²,8,0.11,0.21,,Equipement/batiment existant > 2 ans / Installation par professionnel
AGRI-EQ-113,AGRI,EQ,Régulation éclairage serre,unitaire,quantite,OUI,4800,4800,4800,4800,kWhc par unité,15,42.14,78.72,abrogation_à_confirmer,
